section,size,addr,symbol,file,kind,classification
.bss._nr_cpu,4,0x2001a354,_nr_cpu,netredirect.c.obj,RAM-bss,runtime
.bss._pc_cmos_for_floppy,4,0x2001a358,_pc_cmos_for_floppy,pc.c.obj,RAM-bss,runtime
.bss._pc_for_cdrom,4,0x2001a35c,_pc_for_cdrom,pc.c.obj,RAM-bss,runtime
.bss._pc_for_fdc,4,0x2001a360,_pc_for_fdc,pc.c.obj,RAM-bss,runtime
.bss._sw_spin_locks,32,0x2001a364,_sw_spin_locks,sync_spin_lock.c.obj,RAM-bss,runtime
.bss._ubsd_mutexdef,8,0x2001a384,_ubsd_mutexdef,usbd.c.obj,RAM-bss,runtime
.bss._usbd_dev,84,0x2001a38c,_usbd_dev,usbd.c.obj,RAM-bss,runtime
.bss._usbd_mutex,4,0x2001a3e0,_usbd_mutex,usbd.c.obj,RAM-bss,runtime
.bss._usbd_q,4,0x2001a3e4,_usbd_q,usbd.c.obj,RAM-bss,runtime
.bss._usbd_qdef_buf,192,0x2001a3e8,_usbd_qdef_buf,usbd.c.obj,RAM-bss,runtime
.bss._usbh_devices,430,0x2001a4a8,_usbh_devices,usbh.c.obj,RAM-bss,runtime
.bss._usbh_epbuf,264,0x2001a658,_usbh_epbuf,usbh.c.obj,RAM-bss,runtime
.bss._usbh_mutex,4,0x2001a760,_usbh_mutex,usbh.c.obj,RAM-bss,runtime
.bss._usbh_mutexdef,8,0x2001a764,_usbh_mutexdef,usbh.c.obj,RAM-bss,runtime
.bss._usbh_q,4,0x2001a76c,_usbh_q,usbh.c.obj,RAM-bss,runtime
.bss._usbh_qdef_buf,192,0x2001a770,_usbh_qdef_buf,usbh.c.obj,RAM-bss,runtime
.bss._used_instruction_space,12,0x2001a830,_used_instruction_space,pio.c.obj,RAM-bss,runtime
.bss.a20_cpu,4,0x2001a83c,a20_cpu,i8042.c.obj,RAM-bss,runtime
.bss.active_voice_bitmask,4,0x2001a840,active_voice_bitmask,pc.c.obj,RAM-bss,runtime
.bss.arm_elf_active_main_sp,4,0x2001a844,arm_elf_active_main_sp,task.c.obj,RAM-bss,runtime
.bss.arm_elf_native_stack_cursor,4,0x2001a848,arm_elf_native_stack_cursor,task.c.obj,RAM-bss,runtime
.bss.arm_ez_active_process_info,4,0x2001a84c,arm_ez_active_process_info,task.c.obj,RAM-bss,runtime
.bss.askThisSingleCommand,4,0x2001a850,askThisSingleCommand,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.aux_dev,4,0x2001a854,aux_dev,kernel.c.obj,RAM-bss,runtime
.bss.availBlock.4,512,0x2001a858,availBlock.4,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.blank_frame_count,4,0x2001aa58,blank_frame_count,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.blk_dev,4,0x2001aa5c,blk_dev,kernel.c.obj,RAM-bss,runtime
.bss.buf.0,256,0x2001aa60,buf.0,bios_printf.c.obj,RAM-bss,runtime
.bss.cd_lock_count,4,0x2001ab60,cd_lock_count,bios_13h.c.obj,RAM-bss,runtime
.bss.cfgFile,40,0x2001ab64,cfgFile,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.cfg_bios,32,0x2001ab8c,cfg_bios,config_save.c.obj,RAM-bss,runtime
.bss.cfg_dss,4,0x2001abac,cfg_dss,config_save.c.obj,RAM-bss,runtime
.bss.cfg_fpu,4,0x2001abb0,cfg_fpu,config_save.c.obj,RAM-bss,runtime
.bss.cfg_mouse_invert_y,4,0x2001abb4,cfg_mouse_invert_y,config_save.c.obj,RAM-bss,runtime
.bss.cfg_nes_joystick,4,0x2001abb8,cfg_nes_joystick,config_save.c.obj,RAM-bss,runtime
.bss.cfg_nes_mouse,4,0x2001abbc,cfg_nes_mouse,config_save.c.obj,RAM-bss,runtime
.bss.cfg_raw_sd_hdd,4,0x2001abc0,cfg_raw_sd_hdd,config_save.c.obj,RAM-bss,runtime
.bss.cfg_tandy,4,0x2001abc4,cfg_tandy,config_save.c.obj,RAM-bss,runtime
.bss.cfg_usb_joystick,4,0x2001abc8,cfg_usb_joystick,config_save.c.obj,RAM-bss,runtime
.bss.cfg_usb_mode,4,0x2001abcc,cfg_usb_mode,config_save.c.obj,RAM-bss,runtime
.bss.cga_palette,4,0x2001abd0,cga_palette,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.channel_mute,12,0x2001abd4,channel_mute,sn76489.c.obj,RAM-bss,runtime
.bss.channels_sustain_bitmask,4,0x2001abe0,channels_sustain_bitmask,pc.c.obj,RAM-bss,runtime
.bss.claimed,4,0x2001abe4,claimed,sync.c.obj,RAM-bss,runtime
.bss.claimed,2,0x2001abe8,claimed,timer.c.obj,RAM-bss,runtime
.bss.claimed,2,0x2001abec,claimed,pio.c.obj,RAM-bss,runtime
.bss.clk_dev,4,0x2001abf0,clk_dev,kernel.c.obj,RAM-bss,runtime
.bss.com1_dev,4,0x2001abf4,com1_dev,kernel.c.obj,RAM-bss,runtime
.bss.com2_dev,4,0x2001abf8,com2_dev,kernel.c.obj,RAM-bss,runtime
.bss.com3_dev,4,0x2001abfc,com3_dev,kernel.c.obj,RAM-bss,runtime
.bss.com4_dev,4,0x2001ac00,com4_dev,kernel.c.obj,RAM-bss,runtime
.bss.con_dev,4,0x2001ac04,con_dev,kernel.c.obj,RAM-bss,runtime
.bss.configured_freq,40,0x2001ac08,configured_freq,clocks.c.obj,RAM-bss,runtime
.bss.conv_color2,4096,0x2001ac30,conv_color2,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.cpu,4,0x2001bc30,cpu,kernel.c.obj,RAM-bss,runtime
.bss.current_line.3,4,0x2001bc34,current_line.3,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.current_remote_dir,256,0x2001bc38,current_remote_dir,netredirect.c.obj,RAM-bss,runtime
.bss.cursor_start,4,0x2001bd38,cursor_start,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.cursor_x,4,0x2001bd3c,cursor_x,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.cursor_y,4,0x2001bd40,cursor_y,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.desc.0,64,0x2001bd44,desc.0,usbmsc_device.c.obj,RAM-bss,runtime
.bss.disk_cdrom_change_cb,4,0x2001bd84,disk_cdrom_change_cb,disk.c.obj,RAM-bss,runtime
.bss.disk_cmos_update_cb,4,0x2001bd88,disk_cmos_update_cb,disk.c.obj,RAM-bss,runtime
.bss.disk_fdc_mediachange_cb,4,0x2001bd8c,disk_fdc_mediachange_cb,disk.c.obj,RAM-bss,runtime
.bss.disk_guest_int13,4,0x2001bd90,disk_guest_int13,dsk.c.obj,RAM-bss,runtime
.bss.disp32,4,0x2001bd94,disp32,cpu.c.obj,RAM-bss,runtime
.bss.dma_chan,4,0x2001bd98,dma_chan,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.dma_chan_ctrl,4,0x2001bd9c,dma_chan_ctrl,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.dma_chan_pal_conv,4,0x2001bda0,dma_chan_pal_conv,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.dma_chan_pal_conv_ctrl,4,0x2001bda4,dma_chan_pal_conv_ctrl,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.doom_diag_native_stack_bottom,4,0x2001bda8,doom_diag_native_stack_bottom,task.c.obj,RAM-bss,runtime
.bss.doom_diag_native_stack_top,4,0x2001bdac,doom_diag_native_stack_top,task.c.obj,RAM-bss,runtime
.bss.dos_diag_code,4,0x2001bdb0,dos_diag_code,dos_api.c.obj,RAM-bss,runtime
.bss.drivers,4,0x2001bdb4,drivers,stdio.c.obj,RAM-bss,runtime
.bss.dss_v.0,4,0x2001bdb8,dss_v.0,libaudio_driver.a(audio.c.obj),RAM-bss,runtime
.bss.e15_last_sof,4,0x2001bdbc,e15_last_sof,rp2040_usb.c.obj,RAM-bss,runtime
.bss.ea,4,0x2001bdc0,ea,cpu.c.obj,RAM-bss,runtime
.bss.ega_palette,16,0x2001bdc4,ega_palette,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.ems_pages,4,0x2001bdd4,ems_pages,pc.c.obj,RAM-bss,runtime
.bss.envp,4,0x2001bdd8,envp,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.errno,4,0x2001bddc,errno,libg.a(libc_a-reent.o),RAM-bss,runtime
.bss.event_wait_deadline,4,0x2001bde0,event_wait_deadline,bios_15h.c.obj,RAM-bss,runtime
.bss.event_wait_flag_lin,4,0x2001bde4,event_wait_flag_lin,bios_15h.c.obj,RAM-bss,runtime
.bss.fatfs,588,0x2001bde8,fatfs,main.c.obj,RAM-bss,runtime
.bss.fcom_exec_search,20,0x2001c034,fcom_exec_search,fcom.c.obj,RAM-bss,runtime
.bss.fdd_changed,2,0x2001c048,fdd_changed,bios_13h.c.obj,RAM-bss,runtime
.bss.fifo_buffer,16,0x2001c04c,fifo_buffer,dss.c.obj,RAM-bss,runtime
.bss.file_count,4,0x2001c05c,file_count,diskui.c.obj,RAM-bss,runtime
.bss.file_list,768,0x2001c060,file_list,diskui.c.obj,RAM-bss,runtime
.bss.file_scroll_offset,4,0x2001c360,file_scroll_offset,diskui.c.obj,RAM-bss,runtime
.bss.filter,4,0x2001c364,filter,stdio.c.obj,RAM-bss,runtime
.bss.frame_update_request,4,0x2001c368,frame_update_request,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.g_pc,4,0x2001c36c,g_pc,pc.c.obj,RAM-bss,runtime
.bss.gp_slots,64,0x2001c370,gp_slots,usbgamepad.c.obj,RAM-bss,runtime
.bss.gp_start_us,4,0x2001c3b0,gp_start_us,gameport.c.obj,RAM-bss,runtime
.bss.guest_bulk_buf,512,0x2001c3b4,guest_bulk_buf,pc.c.obj,RAM-bss,runtime
.bss.hdcount,4,0x2001c5b4,hdcount,disk.c.obj,RAM-bss,runtime
.bss.hdmi_extra_line_buf,800,0x2001c5b8,hdmi_extra_line_buf,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.heap_end.0,4,0x2001c8d8,heap_end.0,newlib_interface.c.obj,RAM-bss,runtime
.bss.held_keys,6,0x2001c8dc,held_keys,hid_app.c.obj,RAM-bss,runtime
.bss.hid_info,72,0x2001c8e4,hid_info,hid_app.c.obj,RAM-bss,runtime
.bss.hub_data,16,0x2001c92c,hub_data,hub.c.obj,RAM-bss,runtime
.bss.hw_endpoints,1024,0x2001c93c,hw_endpoints,dcd_rp2040.c.obj,RAM-bss,runtime
.bss.i2s_config,20,0x2001cd3c,i2s_config,libaudio_driver.a(audio.c.obj),RAM-bss,runtime
.bss.init.1,67,0x2001cd50,init.1,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.initial_env,4,0x2001cd94,initial_env,libg.a(libc_a-environ.o),RAM-bss,runtime
.bss.inittail.0,67,0x2001cd98,inittail.0,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.internal_data,4,0x2001cddc,internal_data,kernel.c.obj,RAM-bss,runtime
.bss.irq1_saved_regs,44,0x2001cde0,irq1_saved_regs,bios_09h.c.obj,RAM-bss,runtime
.bss.irq_inx,4,0x2001ce0c,irq_inx,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.isr_busy_us_acc,4,0x2001ce10,isr_busy_us_acc,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.kbd_sm,4,0x2001ce14,kbd_sm,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.key_action_head,4,0x2001ce18,key_action_head,hid_app.c.obj,RAM-bss,runtime
.bss.key_action_queue,256,0x2001ce1c,key_action_queue,hid_app.c.obj,RAM-bss,runtime
.bss.key_action_tail,4,0x2001cf1c,key_action_tail,hid_app.c.obj,RAM-bss,runtime
.bss.keyboard_connected,4,0x2001cf20,keyboard_connected,hid_app.c.obj,RAM-bss,runtime
.bss.lazy_vsnprintf,4,0x2001cf24,lazy_vsnprintf,printf.c.obj,RAM-bss,runtime
.bss.lfn_slots_x86,4,0x2001cf28,lfn_slots_x86,lfnapi.c.obj,RAM-bss,runtime
.bss.lfo_am_buffer_lsl3.4,1024,0x2001cf2c,lfo_am_buffer_lsl3.4,emu8950.c.obj,RAM-bss,runtime
.bss.lh_allocatedBlocks,4,0x2001d32c,lh_allocatedBlocks,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_block,512,0x2001d330,lh_block,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_fnam,128,0x2001d530,lh_fnam,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_optL,64,0x2001d5b0,lh_optL,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_optL_present,4,0x2001d5f0,lh_optL_present,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_optS,4,0x2001d5f4,lh_optS,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_umbRegion,640,0x2001d5f8,lh_umbRegion,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_umbRegions,4,0x2001d878,lh_umbRegions,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.lh_upper_flag,4,0x2001d87c,lh_upper_flag,fcom.c.obj,RAM-bss,init/one-shot? (LH/UMB setup - verify vs runtime LH)
.bss.line.0,161,0x2001d880,line.0,bios_05h.c.obj,RAM-bss,runtime
.bss.line.0,4,0x2001d924,line.0,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.lines_pattern,16,0x2001d928,lines_pattern,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.load_value,4,0x2001d938,load_value,watchdog.c.obj,RAM-bss,runtime
.bss.lpTop,4,0x2001d93c,lpTop,kernel.c.obj,RAM-bss,runtime
.bss.lpt1_dev,4,0x2001d940,lpt1_dev,kernel.c.obj,RAM-bss,runtime
.bss.lpt2_dev,4,0x2001d944,lpt2_dev,kernel.c.obj,RAM-bss,runtime
.bss.lpt3_dev,4,0x2001d948,lpt3_dev,kernel.c.obj,RAM-bss,runtime
.bss.master_counter,4,0x2001d94c,master_counter,sn76489.c.obj,RAM-bss,runtime
.bss.midi_command,4,0x2001d950,midi_command,pc.c.obj,RAM-bss,runtime
.bss.midi_insysex,4,0x2001d954,midi_insysex,pc.c.obj,RAM-bss,runtime
.bss.midi_len,4,0x2001d958,midi_len,pc.c.obj,RAM-bss,runtime
.bss.midi_pos,4,0x2001d95c,midi_pos,pc.c.obj,RAM-bss,runtime
.bss.midi_voices,512,0x2001d960,midi_voices,pc.c.obj,RAM-bss,runtime
.bss.missed_isr_count,4,0x2001db60,missed_isr_count,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.mod_buffer.3,2048,0x2001db64,mod_buffer.3,emu8950.c.obj,RAM-bss,runtime
.bss.mouse_button_press_time,4,0x2001e364,mouse_button_press_time,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_clk_pin,4,0x2001e368,mouse_clk_pin,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_connected,4,0x2001e36c,mouse_connected,hid_app.c.obj,RAM-bss,runtime
.bss.mouse_data_pin,4,0x2001e370,mouse_data_pin,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_frame_errors,4,0x2001e374,mouse_frame_errors,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_packet,4,0x2001e378,mouse_packet,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_parity_errors,4,0x2001e37c,mouse_parity_errors,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_rx_buffer,128,0x2001e380,mouse_rx_buffer,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_sm,4,0x2001e400,mouse_sm,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_state,8,0x2001e404,mouse_state,hid_app.c.obj,RAM-bss,runtime
.bss.mouse_state,8,0x2001e40c,mouse_state,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_sync_errors,4,0x2001e414,mouse_sync_errors,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.mouse_valid_packet_count,4,0x2001e418,mouse_valid_packet_count,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.nCfgLine,4,0x2001e41c,nCfgLine,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.nCurChain,4,0x2001e420,nCurChain,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.nFileDesc,4,0x2001e424,nFileDesc,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.nMenuLine,4,0x2001e428,nMenuLine,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.nUnits,4,0x2001e42c,nUnits,initdisk.c.obj,RAM-bss,runtime
.bss.near_mcb.5,16,0x2001e430,near_mcb.5,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.nespad_state,4,0x2001e440,nespad_state,libnespad.a(nespad.c.obj),RAM-bss,runtime
.bss.nespad_state2,4,0x2001e444,nespad_state2,libnespad.a(nespad.c.obj),RAM-bss,runtime
.bss.new_frame_max_us,4,0x2001e448,new_frame_max_us,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.new_path.2,256,0x2001e44c,new_path.2,netredirect.c.obj,RAM-bss,runtime
.bss.next_buffer_ptr,4,0x2001e54c,next_buffer_ptr,dcd_rp2040.c.obj,RAM-bss,runtime
.bss.noise_counter,4,0x2001e550,noise_counter,sn76489.c.obj,RAM-bss,runtime
.bss.noise_frequency,4,0x2001e554,noise_frequency,sn76489.c.obj,RAM-bss,runtime
.bss.noise_lfsr_seed,4,0x2001e558,noise_lfsr_seed,sn76489.c.obj,RAM-bss,runtime
.bss.noise_type_mode,4,0x2001e55c,noise_type_mode,sn76489.c.obj,RAM-bss,runtime
.bss.noise_uses_tone2_freq,4,0x2001e560,noise_uses_tone2_freq,sn76489.c.obj,RAM-bss,runtime
.bss.noise_volume,4,0x2001e564,noise_volume,sn76489.c.obj,RAM-bss,runtime
.bss.numInstallCmds,4,0x2001e568,numInstallCmds,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.object.0,24,0x2001e56c,object.0,crtbegin.o,RAM-bss,runtime
.bss.offs_prg0,4,0x2001e584,offs_prg0,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.offs_prg1,4,0x2001e588,offs_prg1,libvideo_driver.a(hdmi.c.obj),RAM-bss,runtime
.bss.orig_cpu,4,0x2001e58c,orig_cpu,settingsui.c.obj,RAM-bss,runtime
.bss.orig_cpu_freq,4,0x2001e590,orig_cpu_freq,settingsui.c.obj,RAM-bss,runtime
.bss.orig_flash_freq,4,0x2001e594,orig_flash_freq,settingsui.c.obj,RAM-bss,runtime
.bss.orig_fpu,4,0x2001e598,orig_fpu,settingsui.c.obj,RAM-bss,runtime
.bss.orig_mem,4,0x2001e59c,orig_mem,settingsui.c.obj,RAM-bss,runtime
.bss.orig_mouse_invert_y,4,0x2001e5a0,orig_mouse_invert_y,settingsui.c.obj,RAM-bss,runtime
.bss.orig_psram_freq,4,0x2001e5a4,orig_psram_freq,settingsui.c.obj,RAM-bss,runtime
.bss.orig_raw_sd_hdd,4,0x2001e5a8,orig_raw_sd_hdd,settingsui.c.obj,RAM-bss,runtime
.bss.orig_redirector,4,0x2001e5ac,orig_redirector,settingsui.c.obj,RAM-bss,runtime
.bss.orig_usb_mode,4,0x2001e5b0,orig_usb_mode,settingsui.c.obj,RAM-bss,runtime
.bss.orig_voltage,4,0x2001e5b4,orig_voltage,settingsui.c.obj,RAM-bss,runtime
.bss.orig_volume,4,0x2001e5b8,orig_volume,settingsui.c.obj,RAM-bss,runtime
.bss.pLineStart,4,0x2001e5bc,pLineStart,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.palette_a,1024,0x2001e5c0,palette_a,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.pc,4,0x2001e9c0,pc,main.c.obj,RAM-bss,runtime
.bss.pc_last_device_service,4,0x2001e9c4,pc_last_device_service,pc.c.obj,RAM-bss,runtime
.bss.pending_changed,7,0x2001e9c8,pending_changed,diskui.c.obj,RAM-bss,runtime
.bss.phase.0,4,0x2001e9d0,phase.0,sb16.c.obj,RAM-bss,runtime
.bss.phase.0,4,0x2001e9d4,phase.0,pcspk.c.obj,RAM-bss,runtime
.bss.plasma_frame,4,0x2001e9d8,plasma_frame,diskui.c.obj,RAM-bss,runtime
.bss.plasma_frame,4,0x2001e9dc,plasma_frame,settingsui.c.obj,RAM-bss,runtime
.bss.poll_counter.2,4,0x2001e9e0,poll_counter.2,main.c.obj,RAM-bss,runtime
.bss.pools,32,0x2001e9e4,pools,time.c.obj,RAM-bss,runtime
.bss.prev_kbd_report,8,0x2001ea04,prev_kbd_report,hid_app.c.obj,RAM-bss,runtime
.bss.prn_dev,4,0x2001ea0c,prn_dev,kernel.c.obj,RAM-bss,runtime
.bss.ps2_pio,4,0x2001ea10,ps2_pio,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.ps2_program_offset,4,0x2001ea14,ps2_program_offset,libps2_driver.a(ps2.c.obj),RAM-bss,runtime
.bss.raw_sd_hdd_sectors,4,0x2001ea18,raw_sd_hdd_sectors,disk.c.obj,RAM-bss,runtime
.bss.register_address,4,0x2001ea1c,register_address,sn76489.c.obj,RAM-bss,runtime
.bss.repeat_next_time,4,0x2001ea20,repeat_next_time,hid_app.c.obj,RAM-bss,runtime
.bss.retrieved_id,8,0x2001ea24,retrieved_id,unique_id.c.obj,RAM-bss,runtime
.bss.rtc_anchor_sec,4,0x2001ea2c,rtc_anchor_sec,misc.c.obj,RAM-bss,runtime
.bss.rtc_cache_valid,4,0x2001ea30,rtc_cache_valid,misc.c.obj,RAM-bss,runtime
.bss.rtc_cached_sec,4,0x2001ea34,rtc_cached_sec,misc.c.obj,RAM-bss,runtime
