section,size,addr,symbol,file,kind,classification
.bss.rm,1,0x2001f1a4,rm,cpu.c.obj,RAM-bss,runtime
.bss.segoverride,1,0x2001f1a5,segoverride,cpu.c.obj,RAM-bss,runtime
.bss.settings_state,1,0x2001f1a6,settings_state,settingsui.c.obj,RAM-bss,runtime
.bss.share_installed,1,0x2001f1a7,share_installed,dosfns.c.obj,RAM-bss,runtime
.bss.singleStep,1,0x2001f1a8,singleStep,config.c.obj,RAM-bss,init-only (FDOS DoConfig/DoInstall; reclaimable via overlay)
.bss.table_initialized,1,0x2001f1a9,table_initialized,emu8950.c.obj,RAM-bss,runtime
.bss.tempcf,1,0x2001f1aa,tempcf,cpu.c.obj,RAM-bss,runtime
.bss.term_exit_code,1,0x2001f1ab,term_exit_code,task.c.obj,RAM-bss,runtime
.bss.term_exit_type,1,0x2001f1ac,term_exit_type,task.c.obj,RAM-bss,runtime
.bss.terminate_flag,1,0x2001f1ad,terminate_flag,task.c.obj,RAM-bss,runtime
.bss.vga_initialized,1,0x2001f1ae,vga_initialized,main.c.obj,RAM-bss,runtime
.bss.volume,1,0x2001f1af,volume,libaudio_driver.a(audio.c.obj),RAM-bss,runtime
.bss.was_in_retrace.4,1,0x2001f1b0,was_in_retrace.4,libvideo_driver.a(vga_hw.c.obj),RAM-bss,runtime
.bss.win_key_pressed,1,0x2001f1b1,win_key_pressed,main.c.obj,RAM-bss,runtime
.bss.xms_handles,1,0x2001f1b2,xms_handles,fdos_2fh.c.obj,RAM-bss,runtime
.bss.xms_hma_taken_by_guest,1,0x2001f1b3,xms_hma_taken_by_guest,fdos_2fh.c.obj,RAM-bss,runtime
